movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
Knocked Up,2007,Judd Apatow,-4,Seth Rogen,man,1982-04-15,25,Katherine Heigl,woman,1978-11-24,29,FALSE
La Dolce Vita,1960,Federico Fellini,4,Marcello Mastroianni,man,1924-09-28,36,Yvonne Furneaux,woman,1928-05-11,32,FALSE
Leap Year,2010,Anand Tucker,-4,Matthew Goode,man,1978-04-03,32,Amy Adams,woman,1974-08-20,36,FALSE
Mamma Mia!,2008,Phyllida Lloyd,-4,Pierce Brosnan,man,1953-05-16,55,Meryl Streep,woman,1949-06-22,59,FALSE
Meet the Parents,2000,Jay Roach,4,Ben Stiller,man,1965-11-30,35,Teri Polo,woman,1969-06-01,31,FALSE
Moulin Rouge!,2001,Baz Luhrmann,-4,Ewan McGregor,man,1971-03-31,30,Nicole Kidman,woman,1967-06-20,34,FALSE
My Best Friend's Wedding,1997,P.J. Hogan,4,Dermot Mulroney,man,1963-10-31,34,Julia Roberts,woman,1967-10-28,30,FALSE
Peter Rabbit,2018,Will Gluck,-4,Domhnall Gleeson,man,1983-05-12,35,Rose Byrne,woman,1979-07-24,39,FALSE
Reservation Road,2007,Terry George,-4,Joaquin Phoenix,man,1974-10-28,33,Jennifer Connelly,woman,1970-12-12,37,FALSE
Sex and the City,2008,Michael Patrick King,4,Evan Handler,man,1961-01-10,47,Kristin Davis,woman,1965-02-24,43,FALSE
Soul Food,1997,George Tillman Jr.,-4,Jeffrey D. Sams,man,1968-06-18,29,Vivica A. Fox,woman,1964-07-30,33,FALSE
Soul Food,1997,George Tillman Jr.,-4,Mekhi Phifer,man,1974-12-29,23,Nia Long,woman,1970-10-30,27,FALSE
Source Code,2011,Duncan Jones,-4,Jake Gyllenhaal,man,1980-12-19,31,Michelle Monaghan,woman,1976-03-23,35,FALSE
Spectre,2015,Sam Mendes,-4,Daniel Craig,man,1968-03-02,47,Monica Bellucci,woman,1964-09-30,51,FALSE
The Artist,2011,Michel Hazanavicius,4,Jean Dujardin,man,1972-06-19,39,Berenice Bejo,woman,1976-06-07,35,FALSE
The Bourne Identity,2002,Doug Liman,4,Matt Damon,man,1970-10-08,32,Franka Potente,woman,1974-07-22,28,FALSE
The Good Girl,2002,Miguel Arteta,4,John C. Reilly,man,1965-05-24,37,Jennifer Aniston,woman,1969-02-11,33,FALSE
The Hudsucker Proxy,1994,Joel Coen,4,Tim Robbins,man,1958-10-18,36,Jennifer Jason Leigh,woman,1962-02-05,32,FALSE
The Italian Job,2003,F. Gary Gray,4,Mark Wahlberg,man,1971-06-05,32,Charlize Theron,woman,1975-08-07,28,FALSE
The Princess Bride,1987,Rob Reiner,4,Cary Elwes,man,1962-10-26,25,Robin Wright,woman,1966-04-08,21,FALSE
The Rock,1996,Michael Bay,4,Nicolas Cage,man,1964-01-07,32,Vanessa Marcil,woman,1968-10-15,28,FALSE
The Scarlet Letter,1995,Roland Joffé,4,Gary Oldman,man,1958-03-21,37,Demi Moore,woman,1962-11-11,33,FALSE
The Spanish Prisoner,1997,David Mamet,4,Campbell Scott,man,1961-07-19,36,Rebecca Pidgeon,woman,1965-10-10,32,FALSE
